City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Bambous Virieux,MU,86.25,-20.3428,57.7575,Casa Tia Villa
8,Mahibadhoo,MV,81.0,3.7833,72.9667,Omadhoo Inn
15,Labuhan,ID,84.38,-6.8844,112.2051,DoubleFAG
25,Meulaboh,ID,85.32,4.1363,96.1285,Kost Pria
37,Kawalu,ID,80.82,-7.3817,108.2082,KOSAN UNGU UNSIK
39,Georgetown,MY,89.53,5.4112,100.3354,Cititel Penang
40,Alofi,NU,80.49,-19.0595,-169.9187,Taloa Heights
43,Busselton,AU,85.08,-33.65,115.3333,Observatory Guest House
50,Finschhafen,PG,82.63,-6.6024,147.8681,Cossam Guest House
53,Kavieng,PG,82.27,-2.5744,150.7967,Nusa Island Retreat
57,Ranong,TH,89.53,9.9658,98.6348,Tinidee Hotel@Ranong
58,Pundaguitan,PH,81.55,6.3711,126.1689,Leonardo Family Beach House 1
61,Roebourne,AU,95.34,-20.7833,117.1333,Latitude20 Roebourne Village
65,Kapoeta,SS,86.4,4.7717,33.5903,Eastgate Hotel
75,Katherine,AU,93.52,-14.4667,132.2667,Pine Tree Motel
77,Carnarvon,AU,89.67,-24.8667,113.6333,Hospitality Carnarvon
95,Limbang,MY,86.05,4.75,115.0,Purnama Hotel
102,Hobyo,SO,80.4,5.3505,48.5268,Halane Hotel and Restaurent
106,Mersing,MY,85.91,2.4312,103.8405,Timotel Hotel
108,Banyumas,ID,87.1,-7.5142,109.2942,Hadipriyanto Homestay
116,Morondava,MG,83.26,-20.2833,44.2833,La Case Bambou
117,Saint-Philippe,RE,83.79,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
118,Mahebourg,MU,86.29,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
119,Mahanoro,MG,81.84,-19.9,48.8,BUNGALOW MAHAMANINA
125,Vaini,TO,82.56,-21.2,-175.2,Keleti Beach Resort
135,Hambantota,LK,88.14,6.1241,81.1185,Bungalow 63
149,Kirakira,SB,82.58,-10.4544,161.9205,SanBiz Lodge
153,Thap Than,TH,94.71,15.4606,99.8917,ขวัญเรือน ขำสุข
160,Hithadhoo,MV,81.72,-0.6,73.0833,Scoop Guest House
161,Yulara,AU,96.64,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
182,Malpe,IN,88.9,13.35,74.7167,Hotel Sri Krishna Residency
185,Madikeri,IN,81.14,12.4167,75.7333,Club Mahindra Madikeri Resort In Coorg
193,Balikpapan,ID,85.19,-1.2675,116.8289,ibis Balikpapan
203,Mandurah,AU,93.15,-32.55,115.7,Atrium Hotel Mandurah
206,Vanimo,PG,84.6,-2.6741,141.3028,Vahmoneh Lodge Vanimo
208,Faanui,PF,81.77,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
212,Vao,NC,81.07,-22.6667,167.4833,Hotel Kou-Bugny
213,Inhambane,MZ,84.18,-23.865,35.3833,Oceano
223,Tiruvannamalai,IN,83.95,12.2167,79.0667,Hotel Aakash
235,Cap Malheureux,MU,86.49,-19.9842,57.6142,Pereybere Hotel & Spa
236,Pangkalanbuun,ID,82.85,-2.6833,111.6167,Grand Kecubung Hotel
237,Porto Novo,BJ,82.22,6.4965,2.6036,Tour Eiffel Hotel Benin
238,Gupitan,PH,85.82,7.7758,125.6406,Tagtugonan Water Falls
241,Fare,PF,81.03,-16.7,-151.0167,Maitai Lapita Village Huahine
245,Butaritari,KI,82.38,3.0707,172.7902,Isles Sunset Lodge
251,Beloha,MG,81.95,-25.1667,45.05,
253,Lorengau,PG,83.43,-2.0226,147.2712,Lorengau Harbourside Hotel
259,Bengkulu,ID,84.16,-3.8004,102.2655,Grage Hotel Bengkulu
287,Souillac,MU,86.38,-20.5167,57.5167,Shanti Maurice Resort & Spa
302,Kampot,KH,87.85,10.6167,104.1833,Two Moons Hotel
308,Paracuru,BR,82.11,-3.41,-39.0306,Hotel Vento Brasil
318,Broken Hill,AU,96.51,-31.95,141.4333,Royal Exchange Hotel
320,Geraldton,AU,88.21,-28.7667,114.6,Broadwater Mariner Resort
324,Nabire,ID,83.44,-3.3667,135.4833,Hotel Nusantara Nabire
333,Micheweni,TZ,81.68,-4.9667,39.8333,
337,Singaraja,ID,86.97,-8.112,115.0882,Puri Bagus Lovina Resort
348,Saint-Pierre,RE,83.88,-21.3393,55.4781,Lindsey Hôtel
358,Grand Gaube,MU,86.4,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
372,Mackay,AU,81.68,-21.15,149.2,International Lodge Motel
377,Quatre Cocos,MU,86.11,-20.2078,57.7625,Sunrise Attitude Hotel
381,Mahonda,TZ,82.51,-6.45,39.4667,Karamba Resort
385,Port Hedland,AU,93.25,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
387,Ugoofaaru,MV,82.0,5.6667,73.0,Ungoofaaru Inn
391,Det Udom,TH,98.29,14.906,105.0784,Chatsuda Resort
392,Karratha,AU,94.1,-20.7377,116.8463,ibis Styles Karratha
407,Honiara,SB,81.59,-9.4333,159.95,Heritage Park Hotel
411,Myitkyina,MM,80.17,25.3833,97.4,Shwe Phyu Hotel
412,Kavaratti,IN,81.37,10.5669,72.642,Hotels in Lakshadweep Islands
433,Atambua,ID,81.27,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
446,Ouegoa,NC,82.9,-20.35,164.4333,
448,Samarai,PG,82.54,-10.6167,150.6667,Nuli Sapi
470,Wodonga,AU,89.28,-36.1167,146.8833,The Hume Inn Motel
484,Emerald,AU,92.34,-23.5333,148.1667,The Irish Village
502,Buala,SB,82.11,-8.145,159.5921,Maringe Lagoon Lodge
512,Balaipungut,ID,86.41,1.05,101.2833,
514,Pamanukan,ID,86.34,-6.2842,107.8106,Paris Day Hotel Pamanukan
515,Sorong,ID,82.89,-0.8833,131.25,Waigo Splash Hotel
531,Manokwari,ID,81.91,-0.8667,134.0833,Swiss Belhotel Manokwari
538,Lom Sak,TH,98.1,16.7798,101.2422,บ้านวรฉัตร หล่มสัก
540,Alyangula,AU,82.27,-13.8483,136.4192,Groote Eylandt Lodge
543,Richards Bay,ZA,82.26,-28.783,32.0377,BON Hotel Waterfront Richards Bay
544,Sola,VU,83.07,-13.8833,167.55,Leumerus Bungalows
548,Isangel,VU,86.11,-19.55,169.2667,Tanna Lodge
549,Nhulunbuy,AU,90.21,-12.2333,136.7667,East Arnhem Real Estate
554,Kieta,PG,81.9,-6.2167,155.6333,Uruna Bay Retreat
563,Nha Trang,VN,80.6,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
570,Mount Isa,AU,94.5,-20.7333,139.5,ibis Styles Mt Isa Verona
576,Cam Ranh,VN,80.56,11.9214,109.1591,OYO 598 Peony Hotel
590,Dhidhdhoo,MV,81.61,6.8833,73.1,Dhidhoo beach
599,Kimbe,PG,83.26,-5.5502,150.1429,Kimbe Bay Hotel
604,Bairiki,KI,84.2,1.3292,172.9752,Tarawa Boutique Hotel
609,Bambanglipuro,ID,82.45,-7.95,110.2833,Puri Brata
614,Kununurra,AU,98.58,-15.7667,128.7333,Hotel Kununurra
615,Alice Springs,AU,96.22,-23.7,133.8833,Desert Palms Alice Springs
617,Antalaha,MG,84.45,-14.9003,50.2788,Hotel Vitasoa
623,Kulhudhuffushi,MV,81.77,6.6221,73.07,Haajy Guest House 1
627,Dong Xoai,VN,91.63,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
635,Saint-Leu,RE,83.26,-21.15,55.2833,La Caz Oceane
644,Tual,ID,82.94,-5.6667,132.75,Grand Vilia Hotel
650,Manadhoo,MV,80.71,5.7667,73.3833,Bon Abri maldives
651,Srisailam,IN,84.74,16.0833,78.8667,Vasavi Satram
655,Aquiraz,BR,82.18,-3.9014,-38.3911,Pousada Rua Camurupim
659,Kaohsiung,TW,80.55,22.6163,120.3133,御宿商旅-中山館
678,Forbes,AU,86.92,-33.3833,148.0167,Lake Forbes Motel
682,Sigli,ID,83.89,5.3848,95.9609,Losmen Dua Mali
687,Boyolangu,ID,83.44,-8.1181,111.8935,Yos ega cv
689,Port-Gentil,GA,80.73,-0.7193,8.7815,Fengshui Residence
